,cip_id,sip_id,uri_id,user_agent_id,site_id
0,1,1,1,1,1
1,2,1,2,2,2
2,3,1,2,3,3
3,3,1,3,3,3
4,4,1,4,4,4
5,5,1,5,5,5
6,6,1,4,4,6
7,7,1,4,4,6
8,8,1,4,6,7
9,9,1,5,7,5
10,10,1,4,8,8
11,11,1,4,9,9
12,12,1,2,10,2
13,13,1,5,11,5
14,14,1,2,12,10
15,15,1,6,4,11
16,16,1,5,13,5
17,17,1,7,14,12
18,18,1,4,15,13
19,19,1,8,16,14
20,20,1,9,17,15
21,21,1,4,18,13
22,22,1,10,19,16
23,23,1,4,20,13
24,24,1,4,13,8
25,25,1,11,21,17
26,26,1,12,22,18
27,27,1,2,23,2
28,28,1,13,24,19
29,29,1,14,25,20
30,30,1,2,13,21
31,31,1,15,26,22
32,32,1,4,27,23
33,33,1,16,28,24
34,34,1,4,6,6
35,35,1,3,29,25
36,35,1,2,29,25
37,36,1,17,30,26
38,8,1,4,6,7
39,37,1,2,31,2
40,38,1,2,28,27
41,39,1,4,32,28
42,40,1,4,33,8
43,41,1,4,34,13
44,42,1,18,35,29
45,43,1,19,36,30
46,44,1,5,37,31
47,45,1,4,4,7
48,46,1,20,38,32
49,47,1,21,13,33
50,35,1,3,29,34
51,35,1,2,29,34
52,48,1,22,39,35
53,49,1,19,4,36
54,50,1,23,4,37
55,51,1,17,15,26
56,52,1,4,40,38
57,53,1,9,4,39
58,54,1,24,41,40
59,55,1,4,42,8
60,56,1,19,43,41
61,57,1,5,25,5
62,58,1,25,44,42
63,59,1,4,13,8
64,60,1,4,45,7
65,61,1,26,46,43
66,62,1,8,4,44
67,63,1,4,47,45
68,64,1,4,48,8
69,65,1,4,49,6
70,66,1,2,28,21
71,35,1,3,29,25
72,35,1,2,29,25
73,67,1,27,45,46
74,68,1,28,50,47
75,69,1,5,51,5
76,70,1,16,13,24
77,71,1,9,4,48
78,72,1,29,52,49
79,73,1,30,53,50
80,74,1,28,54,51
81,75,1,4,55,6
82,76,1,31,4,52
83,77,1,4,21,7
84,78,1,2,36,2
85,79,1,4,4,53
86,80,1,4,56,13
87,81,1,5,57,5
88,82,1,4,58,7
89,83,1,32,13,54
90,35,1,3,29,55
91,35,1,2,29,55
92,84,1,33,59,56
93,55,1,4,42,13
94,85,1,34,60,57
95,86,1,2,61,10
96,61,1,26,46,43
97,87,1,35,62,58
98,88,1,4,45,6
99,89,1,5,63,5
100,90,1,36,64,59
101,91,1,4,4,6
102,92,1,2,13,10
103,93,1,37,65,60
104,94,1,5,66,5
105,95,1,4,45,7
106,96,1,5,67,5
107,97,1,2,68,21
108,98,1,4,13,8
109,99,1,38,35,61
110,100,1,4,4,62
111,101,1,10,69,16
112,102,1,4,70,63
113,103,1,5,71,5
114,104,1,4,72,6
115,105,1,39,73,64
116,106,1,7,74,12
117,107,1,2,36,65
118,108,1,40,75,66
119,109,1,2,76,2
120,35,1,3,29,25
121,35,1,2,29,25
122,110,1,4,45,67
123,111,1,2,36,27
124,112,1,4,72,68
125,113,1,4,77,13
126,114,1,41,78,69
127,115,1,17,79,26
128,116,1,15,80,70
129,117,1,4,4,71
130,118,1,2,81,10
131,119,1,4,13,8
132,120,1,42,82,72
133,121,1,4,83,73
134,122,1,9,4,74
135,123,1,5,36,5
136,124,1,2,36,2
137,125,1,2,84,2
138,126,1,4,85,75
139,82,1,4,58,7
140,127,1,4,47,76
141,128,1,4,13,13
142,129,1,8,45,77
143,130,1,5,86,5
144,131,1,2,87,78
145,132,1,4,28,8
146,133,1,43,88,79
147,134,1,44,89,80
148,135,1,5,90,5
149,136,1,45,91,81
150,24,1,4,13,13
151,137,1,14,92,82
152,138,1,46,45,83
153,139,1,47,24,84
154,140,1,4,93,13
155,141,1,4,94,6
156,142,1,2,95,27
157,143,1,2,84,10
158,144,1,48,96,85
159,145,1,49,45,86
160,146,1,4,77,8
161,147,1,8,16,87
162,148,1,50,34,88
163,149,1,2,97,27
164,77,1,4,21,7
165,150,1,4,98,13
166,151,1,28,99,51
167,152,1,4,100,6
168,153,1,51,4,89
169,154,1,4,36,8
170,155,1,4,4,6
171,156,1,2,36,21
172,157,1,12,101,90
173,158,1,2,36,91
174,159,1,52,102,92
175,160,1,53,103,93
176,161,1,4,104,8
177,162,1,4,105,13
178,159,1,54,102,92
179,163,1,15,47,22
180,164,1,9,106,94
181,165,1,55,107,95
182,166,1,56,45,96
183,167,1,4,64,8
184,168,1,13,108,97
185,169,1,4,4,6
186,170,1,4,45,7
187,171,1,16,11,24
188,172,1,4,109,8
189,173,1,7,4,12
190,174,1,4,110,6
191,175,1,2,111,10
192,176,1,24,112,98
193,177,1,4,113,8
194,178,1,57,114,99
195,176,1,24,112,100
196,179,1,2,7,2
197,180,1,4,4,7
198,181,1,5,115,5
199,182,1,4,34,101
200,183,1,4,116,6
201,35,1,3,29,102
202,35,1,2,29,102
203,184,1,58,117,103
204,176,1,24,112,100
205,185,1,26,27,104
206,186,1,32,118,105
207,187,1,59,119,106
208,188,1,4,28,8
209,189,1,60,36,107
210,35,1,3,29,108
211,190,1,44,120,109
212,35,1,2,29,108
213,191,1,61,121,110
214,192,1,4,122,13
215,193,1,2,87,91
216,194,1,2,7,21
