,cip_id,sip_id,uri_id,user_agent_id,site_id,device_id
0,1,1,1,1,1,1
1,2,1,2,2,2,2
2,3,1,2,3,3,3
3,3,1,3,3,3,3
4,4,1,4,4,4,4
5,5,1,5,5,5,5
6,6,1,4,4,6,6
7,7,1,4,4,6,7
8,8,1,4,6,7,8
9,9,1,5,7,5,9
10,10,1,4,8,8,10
11,11,1,4,9,9,11
12,12,1,2,10,2,12
13,13,1,5,11,5,13
14,14,1,2,12,10,14
15,15,1,6,4,11,15
16,16,1,5,13,5,16
17,17,1,7,14,12,17
18,18,1,4,15,13,18
19,19,1,8,16,14,19
20,20,1,9,17,15,20
21,21,1,4,18,13,21
22,22,1,10,19,16,22
23,23,1,4,20,13,23
24,24,1,4,13,8,24
25,25,1,11,21,17,25
26,26,1,12,22,18,26
27,27,1,2,23,2,27
28,28,1,13,24,19,28
29,29,1,14,25,20,29
30,30,1,2,13,21,30
31,31,1,15,26,22,31
32,32,1,4,27,23,32
33,33,1,16,28,24,33
34,34,1,4,6,6,34
35,35,1,3,29,25,35
36,35,1,2,29,25,35
37,36,1,17,30,26,36
38,8,1,4,6,7,8
39,37,1,2,31,2,37
40,38,1,2,28,27,38
41,39,1,4,32,28,39
42,40,1,4,33,8,40
43,41,1,4,34,13,41
44,42,1,18,35,29,42
45,43,1,19,36,30,43
46,44,1,5,37,31,44
47,45,1,4,4,7,45
48,46,1,20,38,32,46
49,47,1,21,13,33,47
50,35,1,3,29,34,35
51,35,1,2,29,34,35
52,48,1,22,39,35,48
53,49,1,19,4,36,49
54,50,1,23,4,37,50
55,51,1,17,15,26,51
56,52,1,4,40,38,52
57,53,1,9,4,39,53
58,54,1,24,41,40,54
59,55,1,4,42,8,55
60,56,1,19,43,41,56
61,57,1,5,25,5,57
62,58,1,25,44,42,58
63,59,1,4,13,8,59
64,60,1,4,45,7,60
65,61,1,26,46,43,61
66,62,1,8,4,44,62
67,63,1,4,47,45,63
68,64,1,4,48,8,64
69,65,1,4,49,6,65
70,66,1,2,28,21,66
71,35,1,3,29,25,35
72,35,1,2,29,25,35
73,67,1,27,45,46,67
74,68,1,28,50,47,68
75,69,1,5,51,5,69
76,70,1,16,13,24,70
77,71,1,9,4,48,71
78,72,1,29,52,49,72
79,73,1,30,53,50,73
80,74,1,28,54,51,74
81,75,1,4,55,6,75
82,76,1,31,4,52,76
83,77,1,4,21,7,77
84,78,1,2,36,2,78
85,79,1,4,4,53,79
86,80,1,4,56,13,80
87,81,1,5,57,5,81
88,82,1,4,58,7,82
89,83,1,32,13,54,83
90,35,1,3,29,55,35
91,35,1,2,29,55,35
92,84,1,33,59,56,84
93,55,1,4,42,13,55
94,85,1,34,60,57,85
95,86,1,2,61,10,86
96,61,1,26,46,43,61
97,87,1,35,62,58,87
98,88,1,4,45,6,88
99,89,1,5,63,5,89
100,90,1,36,64,59,90
101,91,1,4,4,6,91
102,92,1,2,13,10,92
103,93,1,37,65,60,93
104,94,1,5,66,5,94
105,95,1,4,45,7,95
106,96,1,5,67,5,96
107,97,1,2,68,21,97
108,98,1,4,13,8,98
109,99,1,38,35,61,99
110,100,1,4,4,62,100
111,101,1,10,69,16,101
112,102,1,4,70,63,102
113,103,1,5,71,5,103
114,104,1,4,72,6,104
115,105,1,39,73,64,105
116,106,1,7,74,12,106
117,107,1,2,36,65,107
118,108,1,40,75,66,108
119,109,1,2,76,2,109
120,35,1,3,29,25,35
121,35,1,2,29,25,35
122,110,1,4,45,67,110
123,111,1,2,36,27,111
124,112,1,4,72,68,112
125,113,1,4,77,13,113
126,114,1,41,78,69,114
127,115,1,17,79,26,115
128,116,1,15,80,70,116
129,117,1,4,4,71,117
130,118,1,2,81,10,118
131,119,1,4,13,8,119
132,120,1,42,82,72,120
133,121,1,4,83,73,121
134,122,1,9,4,74,122
135,123,1,5,36,5,123
136,124,1,2,36,2,124
137,125,1,2,84,2,125
138,126,1,4,85,75,126
139,82,1,4,58,7,82
140,127,1,4,47,76,127
141,128,1,4,13,13,128
142,129,1,8,45,77,129
143,130,1,5,86,5,130
144,131,1,2,87,78,131
145,132,1,4,28,8,132
146,133,1,43,88,79,133
147,134,1,44,89,80,134
148,135,1,5,90,5,135
149,136,1,45,91,81,136
150,24,1,4,13,13,24
151,137,1,14,92,82,137
152,138,1,46,45,83,138
153,139,1,47,24,84,139
154,140,1,4,93,13,140
155,141,1,4,94,6,141
156,142,1,2,95,27,142
157,143,1,2,84,10,143
158,144,1,48,96,85,144
159,145,1,49,45,86,145
160,146,1,4,77,8,146
161,147,1,8,16,87,147
162,148,1,50,34,88,148
163,149,1,2,97,27,149
164,77,1,4,21,7,77
165,150,1,4,98,13,150
166,151,1,28,99,51,151
167,152,1,4,100,6,152
168,153,1,51,4,89,153
169,154,1,4,36,8,154
170,155,1,4,4,6,155
171,156,1,2,36,21,156
172,157,1,12,101,90,157
173,158,1,2,36,91,158
174,159,1,52,102,92,159
175,160,1,53,103,93,160
176,161,1,4,104,8,161
177,162,1,4,105,13,162
178,159,1,54,102,92,159
179,163,1,15,47,22,163
180,164,1,9,106,94,164
181,165,1,55,107,95,165
182,166,1,56,45,96,166
183,167,1,4,64,8,167
184,168,1,13,108,97,168
185,169,1,4,4,6,169
186,170,1,4,45,7,170
187,171,1,16,11,24,171
188,172,1,4,109,8,172
189,173,1,7,4,12,173
190,174,1,4,110,6,174
191,175,1,2,111,10,175
192,176,1,24,112,98,176
193,177,1,4,113,8,177
194,178,1,57,114,99,178
195,176,1,24,112,100,176
196,179,1,2,7,2,179
197,180,1,4,4,7,180
198,181,1,5,115,5,181
199,182,1,4,34,101,182
200,183,1,4,116,6,183
201,35,1,3,29,102,35
202,35,1,2,29,102,35
203,184,1,58,117,103,184
204,176,1,24,112,100,176
205,185,1,26,27,104,185
206,186,1,32,118,105,186
207,187,1,59,119,106,187
208,188,1,4,28,8,188
209,189,1,60,36,107,189
210,35,1,3,29,108,35
211,190,1,44,120,109,190
212,35,1,2,29,108,35
213,191,1,61,121,110,191
214,192,1,4,122,13,192
215,193,1,2,87,91,193
216,194,1,2,7,21,194
217,195,1,38,35,111,195
218,196,1,8,7,112,196
219,197,1,4,13,13,197
220,198,1,10,123,113,198
221,199,1,5,124,5,199
222,200,1,5,125,5,200
223,201,1,2,77,91,201
224,202,1,15,4,114,202
225,203,1,2,28,21,203
226,204,1,4,47,6,204
227,205,1,51,48,115,205
228,206,1,2,28,10,206
229,207,1,4,24,101,207
230,208,1,24,34,116,208
231,209,1,7,10,12,209
232,210,1,57,126,99,210
233,211,1,2,13,2,211
234,212,1,2,36,2,212
235,213,1,15,127,117,213
236,214,1,51,87,118,214
237,215,1,17,35,26,215
238,216,1,4,108,13,216
239,217,1,62,4,119,217
240,218,1,4,27,120,218
241,219,1,63,4,121,219
242,220,1,4,4,6,220
243,221,1,4,128,8,221
244,222,1,64,129,122,222
245,223,1,28,36,123,223
246,224,1,4,130,8,224
247,225,1,4,131,13,225
248,226,1,4,132,7,226
249,227,1,47,24,84,227
250,228,1,65,133,124,228
251,229,1,2,134,125,229
252,230,1,2,13,21,230
253,231,1,66,135,126,231
254,232,1,4,136,8,232
255,233,1,4,137,13,233
256,234,1,4,138,127,234
257,235,1,4,88,6,235
258,236,1,8,45,128,236
259,237,1,67,139,129,237
260,238,1,19,63,130,238
261,239,1,13,140,19,239
262,172,1,4,109,13,172
263,240,1,68,4,131,240
264,241,1,14,141,20,241
265,242,1,2,142,132,242
266,242,1,3,142,132,242
267,243,1,69,143,133,243
268,244,1,13,36,19,244
269,245,1,4,144,127,245
270,246,1,70,145,134,246
271,246,1,71,145,135,246
272,247,1,4,146,8,247
273,248,1,2,7,21,248
274,249,1,4,47,7,249
275,239,1,13,147,19,250
276,250,1,72,4,136,251
277,239,1,73,147,19,250
278,251,1,2,148,27,252
279,252,1,55,149,137,253
280,253,1,4,4,6,254
281,254,1,4,36,13,255
282,255,1,4,150,8,256
283,256,1,2,151,2,257
284,257,1,4,47,138,258
285,258,1,4,152,13,259
286,259,1,7,64,12,260
287,260,1,2,36,2,261
288,261,1,2,7,27,262
289,262,1,4,153,6,263
290,263,1,74,54,139,264
291,262,1,4,153,6,263
292,264,1,75,154,140,265
293,265,1,19,16,130,266
294,264,1,76,154,140,265
295,266,1,2,155,78,267
296,267,1,57,156,141,268
297,268,1,4,4,6,269
298,269,1,5,36,5,270
299,270,1,4,88,7,271
300,235,1,4,88,6,235
301,271,1,4,13,13,272
302,272,1,4,99,8,273
303,273,1,32,157,142,274
304,274,1,4,34,13,275
305,275,1,4,45,143,276
306,276,1,77,158,144,277
307,277,1,78,36,145,278
308,278,1,51,159,146,279
309,279,1,7,160,12,280
310,280,1,2,36,2,281
311,281,1,4,4,6,282
312,282,1,79,45,147,283
313,283,1,80,161,148,284
314,284,1,5,7,5,285
315,285,1,2,162,10,286
316,286,1,4,163,8,287
317,287,1,57,164,99,288
318,288,1,69,165,149,289
319,289,1,2,10,27,290
320,290,1,2,166,10,291
321,291,1,41,167,150,292
322,272,1,4,99,13,273
323,292,1,2,13,10,293
324,293,1,2,13,10,294
325,294,1,4,13,8,295
326,295,1,2,13,27,296
327,296,1,8,168,87,297
328,297,1,10,169,151,298
329,298,1,81,48,152,299
330,264,1,82,154,153,265
331,299,1,83,154,153,300
332,300,1,4,47,6,301
333,301,1,5,67,5,302
334,261,1,2,7,21,262
335,302,1,13,54,19,303
336,303,1,4,4,6,304
337,304,1,5,170,5,305
338,305,1,2,13,2,306
339,306,1,7,114,12,307
340,307,1,7,171,154,308
341,294,1,4,13,13,295
342,308,1,4,151,8,309
343,309,1,84,172,155,310
344,310,1,8,65,156,311
345,311,1,85,98,157,312
346,312,1,4,173,13,313
347,313,1,41,4,158,314
348,314,1,86,4,159,315
349,315,1,4,4,7,316
350,316,1,4,7,8,317
351,317,1,2,174,2,318
352,318,1,4,175,6,319
353,319,1,87,176,160,320
354,320,1,88,4,161,321
355,321,1,32,145,162,322
356,322,1,5,177,5,323
357,323,1,28,45,163,324
358,324,1,4,6,7,325
359,325,1,2,178,2,326
360,326,1,89,47,164,327
361,327,1,2,99,2,328
362,328,1,84,47,155,329
363,329,1,4,179,165,330
364,330,1,4,180,8,331
365,331,1,6,43,166,332
366,232,1,4,136,8,232
367,332,1,90,181,167,333
368,333,1,8,182,112,334
369,334,1,91,108,168,335
370,335,1,2,13,2,336
371,336,1,2,183,10,337
372,191,1,61,121,110,191
373,337,1,19,63,130,338
374,338,1,4,4,7,339
375,339,1,2,13,27,340
376,340,1,4,4,7,341
377,341,1,4,108,101,342
378,342,1,57,184,169,343
379,343,1,4,4,6,344
380,344,1,4,88,6,345
381,345,1,66,185,170,346
382,261,1,2,7,10,262
383,346,1,45,9,81,347
384,347,1,4,186,8,348
385,348,1,4,187,8,349
386,349,1,29,52,49,350
387,350,1,47,188,171,351
388,351,1,92,45,172,352
389,352,1,93,12,173,353
390,353,1,94,4,174,354
391,354,1,4,87,8,355
392,355,1,4,35,13,356
393,356,1,2,77,175,357
394,356,1,3,77,175,357
395,357,1,5,28,5,358
396,358,1,4,4,7,359
397,341,1,4,108,13,342
398,359,1,4,189,13,360
399,360,1,4,4,6,361
400,255,1,4,150,13,256
401,361,1,5,28,5,362
402,362,1,95,190,176,363
403,2,1,5,191,5,364
404,363,1,5,64,5,365
405,364,1,96,192,177,366
406,365,1,97,193,178,367
407,366,1,87,194,179,368
408,367,1,15,45,180,369
409,368,1,98,35,181,370
410,369,1,2,7,2,371
411,370,1,4,195,13,372
412,371,1,9,54,74,373
413,354,1,4,87,13,355
414,372,1,2,13,10,374
415,373,1,4,34,182,375
416,374,1,42,196,183,376
417,375,1,4,85,184,377
418,376,1,4,13,13,378
419,377,1,4,13,13,379
420,378,1,99,36,185,380
421,379,1,100,197,186,381
422,380,1,101,6,187,382
423,381,1,4,4,6,383
424,382,1,4,21,188,384
425,383,1,8,54,189,385
426,384,1,4,198,13,386
427,385,1,49,87,86,387
428,386,1,13,28,19,388
429,387,1,102,199,190,389
430,388,1,2,200,27,390
431,389,1,61,47,191,391
432,390,1,28,1,192,392
433,391,1,4,48,8,393
434,392,1,4,4,75,394
435,371,1,9,54,74,373
436,376,1,4,13,13,378
437,393,1,2,173,27,395
438,394,1,4,112,193,396
439,395,1,10,201,113,397
440,396,1,103,4,194,398
441,397,1,2,36,78,399
442,381,1,4,4,6,383
443,398,1,2,202,195,400
444,398,1,3,202,195,400
445,399,1,5,191,5,401
446,400,1,5,99,5,402
447,401,1,104,203,196,403
448,402,1,4,36,8,404
449,403,1,5,98,5,405
450,404,1,105,45,197,406
451,405,1,4,5,13,407
452,406,1,99,95,185,408
453,407,1,4,24,13,409
454,408,1,2,204,21,410
455,409,1,4,7,8,411
456,144,1,2,205,21,412
457,410,1,32,206,198,413
458,411,1,4,4,7,414
459,412,1,4,207,8,415
460,413,1,106,208,199,416
461,414,1,38,209,111,417
462,415,1,4,210,8,418
463,416,1,84,211,200,419
464,417,1,107,212,201,420
465,418,1,61,108,110,421
466,419,1,2,36,27,422
467,420,1,66,54,202,423
468,421,1,32,46,203,424
469,422,1,108,213,204,425
470,358,1,4,4,7,359
471,423,1,4,214,13,426
472,424,1,109,215,205,427
473,425,1,5,216,5,428
474,426,1,4,217,6,429
475,427,1,4,83,6,430
476,428,1,42,218,206,431
477,429,1,110,219,207,432
478,430,1,5,13,5,433
479,366,1,87,194,179,368
480,431,1,2,77,21,434
481,432,1,5,13,208,435
482,433,1,7,220,12,436
483,434,1,111,221,209,437
484,435,1,13,6,19,438
485,436,1,112,36,210,439
486,437,1,45,91,81,440
487,144,1,2,205,21,412
488,438,1,2,28,10,441
489,439,1,2,7,10,442
490,440,1,5,222,31,443
491,441,1,113,223,211,444
492,426,1,4,217,6,429
493,442,1,19,224,130,445
494,443,1,2,7,21,44
495,258,1,4,152,13,259
496,444,1,4,225,8,446
497,445,1,87,4,179,447
498,446,1,27,108,212,448
499,447,1,114,226,213,449
500,435,1,13,6,19,438
501,448,1,19,182,130,450
502,449,1,27,131,214,451
503,191,1,61,121,110,191
504,450,1,4,200,8,452
505,364,1,96,192,215,366
506,451,1,15,4,216,453
507,452,1,115,6,217,454
